Real Standings,Richard Predictions,Richard Scores,Benny Predictions,Benny Scores
Bayer Leverkusen,Bayern Munich,1.0,Bayern Munich,1.0
Bayern Munich,Bayer Leverkusen,1.0,RB Leipzig,2.0
VfB Stuttgart,Borussia Dortmund,2.0,Borussia Dortmund,2.0
RB Leipzig,Union Berlin,9.0,Union Berlin,9.0
Borussia Dortmund,RB Leipzig,1.0,Bayer Leverkusen,4.0
Eintracht Frankfurt,,14.0,,18.0
FC Augsburg,,,,
1899 Hoffenheim,,,,
SC Freiburg,,,,
FC Heidenheim,,,,
Borussia Monchengladbach,,,,
Werder Bremen,,,,
Union Berlin,,,,
VfL Wolfsburg,,,,
Vfl Bochum,,,,
FSV Mainz 05,,,,
1.FC Köln,,,,
SV Darmstadt 98,,,,
