Real Standings,Richard Predictions,Richard Scores,Benny Predictions,Benny Scores
Real Madrid,Real Madrid,0.0,Barcelona,1.0
Barcelona,Barcelona,0.0,Real Madrid,1.0
Girona,Atletico Madrid,1.0,Atletico Madrid,1.0
Atletico Madrid,Valencia,3.0,Villarreal,6.0
Athletic Club,Athletic Club,0.0,Real Sociedad,1.0
Real Sociedad,,4.0,,10.0
Valencia,,,,
Real Betis,,,,
Osasuna,,,,
Villarreal,,,,
Getafe,,,,
Las Palmas,,,,
Alaves,,,,
Sevilla,,,,
Mallorca,,,,
Rayo Vallecano,,,,
Celta Vigo,,,,
Cadiz,,,,
Granada CF,,,,
Almeria,,,,
